Wilhelmina;0
Lucjan;1
Tadeusz;1
Rudolf;1
Ilga;0
Hipolit;1
Pabian;1
Tomisława;0
Ryta;0
Hermenegilda;0
Arleta;0
Ofelia;0
Baltazar;1
Antonia;0
Rodzisława;0
Edwin;1
Odon;1
Dilara;0
Adam;1
Renata;0
Świętopełk;1
Oliwia;0
Stefania;0
Edyta;0
Ludmiła;0
Chociemira;0
Świetlana;0
Wilhelm;1
Tola;0
Miłosława;0
Bolelut;1
Ewaryst;1
Dżan;1
Eliasz;1
Stoisława;0
Malwina;0
Chociemir;1
Lechosław;1
Borysław;1
Zuzanna;0
Odyla;0
Marta;0
Rudolfina;0
Syriusz;1
Farid;1
Miłowit;1
Saloma;0
Ilia;0
Arletta;0
Cyprian;1
Polmira;0
Włodzisław;1
Lambert;1
Fabiola;0
Sara;0
Oktawian;1
Gotard;1
Borzywoj;1
Gwalbert;1
Kama;0
Bartłomieja;0
Aleksa;0
Nikola;0
Mirosz;1
Daria;0
Rozalinda;0
Więcesław;1
Mira;0
Bruno;1
Cezary;1
Jur;1
Zenobiusz;1
Tolisława;0
Joachim;1
Przemysława;0
Ingeborga;0
Wilgofarta;0
Bogusz;1
Leszek;1
Jowita;0
Adela;0
Ludowit;1
Brajan;1
Iwa;0
Alan;1
Narcyza;0
Benon;1
Adriana;0
Ludwika;0
Emanuela;0
Ananiasz;1
Luna;0
Godehard;1
Olena;0
Karolina;0
Przybysława;0
Jozafat;1
Hadrian;1
Lucjana;0
Oswald;1
Matylda;0
Latifa;0
Walery;1
Miłomir;1
Eliot;1
Sylwana;0
Telimena;0
Mateusz;1
Nasif;1
Norman;1
Anatol;1
Nadzieja;0
Tulimir;1
Miłosław;1
Duszan;1
Bibiana;0
Babeta;0
Tomiła;0
Bonawentura;1
Aleksja;0
Irmina;0
Ferdynanda;0
Marlena;0
Cezar;1
Czesław;1
Mojra;0
Aleksander;1
Leonora;0
Michalina;0
Gustaw;1
Świętomira;0
Maksymin;1
Astryda;0
Gizela;0
Pamela;0
Benedykt;1
Władysława;0
Otniel;1
Rajner;1
Klementyna;0
Konradyn;1
Jessica;0
Eleonora;0
Saba;0
Leopold;1
Kordula;0
Otylia;0
Danisława;0
Ariadna;0
Bartłomiej;1
Leontyna;0
Gotszalk;1
Desreta;0
Miłogost;1
Chwalisław;1
Krzysztofa;0
Nicefor;1
Samir;1
Patrycja;0
Teodor;1
Huberta;0
Makryn;1
Sławomierz;1
Wacława;0
Wawrzyniec;1
Wirgilia;0
Miłowan;1
Godfryd;1
Radzimir;1
Boguchwała;0
Ryksa;0
Felicyta;0
Leokadia;0
Tina;0
Karima;0
Teofil;1
Kornel;1
Wincentyna;0
Halina;0
Nina;0
Kamil;1
Lola;0
Seweryna;0
Izydora;0
Wioleta;0
Arkadiusz;1
Hieronim;1
Romualda;0
Anita;0
Monika;0
Emina;0
Miłowita;0
Beatrycja;0
Nataniel;1
Izydor;1
Apolonia;0
Lea;0
Luborada;0
Wiara;0
Otto;1
Gryzelda;0
Brenda;0
Feliksa;0
Sabina;0
Nikodema;0
Maryna;0
Wanessa;0
Justynian;1
Zwinisław;1
Augusta;0
Wioletta;0
Ludomił;1
Dalgur;1
Cezaria;0
Rajmunda;0
Iwon;1
Żużanna;0
Lilia;0
Kemal;1
Marcjanna;0
Bianka;0
Sykstus;1
Jarosława;0
Petronela;0
Dargosław;1
Agrypin;1
Teodozja;0
Manuela;0
Placyda;0
Dargomir;1
Dżem;1
Wiesław;1
Paskal;1
Bożimir;1
Konstancjusz;1
Katarzyna;0
Gwidona;0
Gustawa;0
Joanna;0
Bonifacy;1
Jaromiła;0
Leka;0
Kinga;0
Damian;1
Karol;1
Ilona;0
Barabasz;1
Damazy;1
Subisława;0
Godfryg;1
Odo;1
Wirgiliusz;1
Żelisław;1
Wandelin;1
Domasława;0
Amanda;0
Sławomir;1
Longin;1
Arnold;1
Wahid;1
Roland;1
Rozwita;0
Tulimira;0
Juliana;0
Hortensja;0
Cinosława;0
Sydoniusz;1
Szczepan;1
Juri;1
Alia;0
Sonia;0
Florian;1
Dalila;0
Laurencja;0
Stela;0
Dobrogost;1
Kasjusz;1
